"Motion Profile Trajectory generated by MCSF"
maxV(rps),2855.98
maxA(rps/s),1903.99
dist(r),42839.7
ItP(ms),10
T1(ms),1499
T2(ms),749
T4(ms),14999
FL1,150
FL2,75
N,1499
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
137,1.36,0.906667,49.5,1894.21,987.969,1903.99,10
138,1.37,0.913333,50,1913.25,1007.01,1903.99,10
139,1.38,0.92,50.5,1932.29,1026.23,1903.99,10
140,1.39,0.926667,51,1951.33,1045.65,1903.99,10
141,1.4,0.933333,51.5,1970.37,1065.26,1903.99,10
142,1.41,0.94,52,1989.41,1085.06,1903.99,10
143,1.42,0.946667,52.5,2008.45,1105.05,1903.99,10
144,1.43,0.953333,53,2027.49,1125.23,1903.99,10
145,1.44,0.96,53.5,2046.53,1145.6,1903.99,10
146,1.45,0.966667,54,2065.57,1166.16,1903.99,10
147,1.46,0.973333,54.5,2084.61,1186.91,1903.99,10
148,1.47,0.98,55,2103.65,1207.85,1903.99,10
149,1.48,0.986667,55.5,2122.69,1228.98,1903.99,10
150,1.49,0.993333,56,2141.73,1250.31,1903.99,10
151,1.5,1,56.5,2160.77,1271.82,1903.99,10
152,1.51,1,56.9933,2179.31,1293.52,1853.88,10
153,1.52,1,57.48,2197.6,1315.4,1828.83,10
154,1.53,1,57.96,2215.64,1337.47,1803.78,10
155,1.54,1,58.4333,2233.42,1359.71,1778.72,10
156,1.55,1,58.9,2250.96,1382.14,1753.67,10
157,1.56,1,59.36,2268.25,1404.73,1728.62,10
158,1.57,1,59.8133,2285.28,1427.5,1703.57,10
159,1.58,1,60.26,2302.07,1450.44,1678.51,10
160,1.59,1,60.7,2318.6,1473.54,1653.46,10
161,1.6,1,61.1333,2334.89,1496.81,1628.41,10
162,1.61,1,61.56,2350.92,1520.24,1603.36,10
163,1.62,1,61.98,2366.7,1543.83,1578.3,10
164,1.63,1,62.3933,2382.24,1567.57,1553.25,10
165,1.64,1,62.8,2397.52,1591.47,1528.2,10
166,1.65,1,63.2,2412.55,1615.52,1503.15,10
167,1.66,1,63.5933,2427.33,1639.72,1478.09,10
168,1.67,1,63.98,2441.86,1664.06,1453.04,10
169,1.68,1,64.36,2456.14,1688.55,1427.99,10
170,1.69,1,64.7333,2470.17,1713.19,1402.94,10
171,1.7,1,65.1,2483.95,1737.96,1377.88,10
