"Motion Profile Trajectory generated by MCSF"
maxV(rps),2244.02
maxA(rps/s),1496.01
dist(r),33660.3
ItP(ms),10
T1(ms),1500
T2(ms),750
T4(ms),15000
FL1,150
FL2,75
N,1500
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
192,1.91,1,71.26,2133.59,1796.03,669.27,10
193,1.92,1,71.48,2140.09,1817.4,649.585,10
194,1.93,1,71.6933,2146.39,1838.83,629.901,10
195,1.94,1,71.9,2152.49,1860.33,610.216,10
196,1.95,1,72.1,2158.39,1881.88,590.532,10
197,1.96,1,72.2933,2164.1,1903.5,570.848,10
198,1.97,1,72.48,2169.61,1925.16,551.163,10
199,1.98,1,72.66,2174.93,1946.89,531.479,10
200,1.99,1,72.8333,2180.05,1968.66,511.794,10
201,2,1,73,2184.97,1990.49,492.11,10
202,2.01,1,73.16,2189.69,2012.36,472.426,10
203,2.02,1,73.3133,2194.22,2034.28,452.741,10
204,2.03,1,73.46,2198.55,2056.24,433.057,10
205,2.04,1,73.6,2202.68,2078.25,413.372,10
206,2.05,1,73.7333,2206.62,2100.3,393.688,10
207,2.06,1,73.86,2210.36,2122.38,374.004,10
208,2.07,1,73.98,2213.9,2144.5,354.319,10
209,2.08,1,74.0933,2217.25,2166.66,334.635,10
210,2.09,1,74.2,2220.4,2188.85,314.95,10
211,2.1,1,74.3,2223.35,2211.07,295.266,10
212,2.11,1,74.3933,2226.11,2233.31,275.582,10
213,2.12,1,74.48,2228.67,2255.59,255.897,10
214,2.13,1,74.56,2231.03,2277.89,236.213,10
215,2.14,1,74.6333,2233.2,2300.21,216.528,10
216,2.15,1,74.7,2235.16,2322.55,196.844,10
217,2.16,1,74.76,2236.94,2344.91,177.16,10
218,2.17,1,74.8133,2238.51,2367.29,157.475,10
219,2.18,1,74.86,2239.89,2389.68,137.791,10
220,2.19,1,74.9,2241.07,2412.08,118.106,10
221,2.2,1,74.9333,2242.05,2434.5,98.422,10
222,2.21,1,74.96,2242.84,2456.92,78.7376,10
223,2.22,1,74.98,2243.43,2479.35,59.0532,10
224,2.23,1,74.9933,2243.83,2501.79,39.3688,10
225,2.24,1,75,2244.02,2524.23,19.6844,10
226,2.25,1,75,2244.02,2546.67,0,10
227,2.26,1,75,2244.02,2569.11,0,10
228,2.27,1,75,2244.02,2591.55,0,10
229,2.28,1,75,2244.02,2613.99,0,10
230,2.29,1,75,2244.02,2636.43,0,10
231,2.3,1,75,2244.02,2658.87,0,10
232,2.31,1,75,2244.02,2681.31,0,10
233,2.32,1,75,2244.02,2703.75,0,10
234,2.33,1,75,2244.02,2726.19,0,10
235,2.34,1,75,2244.02,2748.63,0,10
236,2.35,1,75,2244.02,2771.07,0,10
237,2.36,1,75,2244.02,2793.51,0,10
238,2.37,1,75,2244.02,2815.95,0,10
239,2.38,1,75,2244.02,2838.39,0,10
240,2.39,1,75,2244.02,2860.83,0,10
241,2.4,1,75,2244.02,2883.27,0,10
242,2.41,1,75,2244.02,2905.71,0,10
243,2.42,1,75,2244.02,2928.15,0,10
244,2.43,1,75,2244.02,2950.59,0,10
245,2.44,1,75,2244.02,2973.03,0,10
246,2.45,1,75,2244.02,2995.47,0,10
247,2.46,1,75,2244.02,3017.91,0,10
248,2.47,1,75,2244.02,3040.35,0,10
249,2.48,1,75,2244.02,3062.79,0,10
250,2.49,1,75,2244.02,3085.23,0,10
251,2.5,1,75,2244.02,3107.68,0,10
252,2.51,1,75,2244.02,3130.12,0,10
253,2.52,1,75,2244.02,3152.56,0,10
254,2.53,1,75,2244.02,3175,0,10
255,2.54,1,75,2244.02,3197.44,0,10
256,2.55,1,75,2244.02,3219.88,0,10
257,2.56,1,75,2244.02,3242.32,0,10
258,2.57,1,75,2244.02,3264.76,0,10
259,2.58,1,75,2244.02,3287.2,0,10
