"Motion Profile Trajectory generated by MCSF"
maxV(rps),4
maxA(rps/s),10
dist(r),5
ItP(ms),10
T1(ms),400
T2(ms),200
T4(ms),1250
FL1,40
FL2,20
N,125
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
164,1.63,0.05,5.75,1.10476,4.9211,-10,10
165,1.64,0.025,5.25,1.00476,4.93164,-10,10
166,1.65,0,4.75,0.904762,4.94119,-10,10
167,1.66,0,4.275,0.814286,4.94979,-9.04762,10
168,1.67,0,3.825,0.728571,4.9575,-8.57143,10
169,1.68,0,3.4,0.647619,4.96438,-8.09524,10
170,1.69,0,3,0.571429,4.97048,-7.61905,10
171,1.7,0,2.625,0.5,4.97583,-7.14286,10
172,1.71,0,2.275,0.433333,4.9805,-6.66667,10
173,1.72,0,1.95,0.371429,4.98452,-6.19048,10
174,1.73,0,1.65,0.314286,4.98795,-5.71429,10
175,1.74,0,1.375,0.261905,4.99083,-5.2381,10
176,1.75,0,1.125,0.214286,4.99321,-4.7619,10
177,1.76,0,0.9,0.171429,4.99514,-4.28571,10
178,1.77,0,0.7,0.133333,4.99667,-3.80952,10
179,1.78,0,0.525,0.1,4.99783,-3.33333,10
180,1.79,0,0.375,0.0714286,4.99869,-2.85714,10
181,1.8,0,0.25,0.047619,4.99929,-2.38095,10
182,1.81,0,0.15,0.0285714,4.99967,-1.90476,10
183,1.82,0,0.075,0.0142857,4.99988,-1.42857,10
184,1.83,0,0.025,0.0047619,4.99998,-0.952381,10
185,1.84,0,0,0,5,-0.47619,10
